AethLabs,,,,,,,,,,,,
Device ID = AE51-S4-655-1303,,,,,,,,,,,,
Application version = 2.1.1.0,,,,,,,,,,,,
Flow = 48 mlpm,,,,,,,,,,,,
TimeBase = 30 s,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Date(yyyy/MM/dd),Time,Ref,Sen,ATN,Flow,Temp,Status,Battery,BC,,,
7/10/14,14:56:00,866599,796463,8.44,48,35,0,100,1807,,,
7/10/14,14:56:30,866600,796399,8.448,48,35,0,100,1929,,,
7/10/14,14:57:00,866624,796353,8.456,48,35,0,100,2022,,,
7/10/14,14:57:30,866591,796257,8.465,48,35,0,100,1952,,,
7/10/14,14:58:00,866614,796214,8.473,48,35,0,100,1906,,,
7/10/14,14:58:30,866617,796153,8.481,48,35,0,100,1895,,,
7/10/14,14:59:00,866676,796146,8.488,48,35,0,100,1819,,,
7/10/14,14:59:30,866622,796033,8.496,48,35,0,100,1885,,,
7/10/14,15:00:00,866634,795976,8.505,48,35,0,100,2022,,,
7/10/14,15:00:30,866629,795913,8.512,48,35,0,100,1737,,,
7/10/14,15:01:00,866693,795904,8.521,48,35,0,100,2015,,,
7/10/14,15:01:30,866693,795840,8.529,48,35,0,100,1903,,,
7/10/14,15:02:00,866677,795760,8.537,48,35,0,100,1942,,,
7/10/14,15:02:30,866589,795612,8.545,48,35,0,100,1999,,,
7/10/14,15:03:00,866579,795538,8.553,48,35,0,100,1928,,,
7/10/14,15:03:30,866637,795530,8.561,48,35,0,100,1822,,,
7/10/14,15:04:00,866558,795394,8.569,48,35,0,100,1889,,,
7/10/14,15:04:30,866600,795370,8.577,48,35,0,100,1861,,,
7/10/14,15:05:00,866597,795305,8.585,48,35,0,100,1852,,,
7/10/14,15:05:30,866619,795265,8.592,48,35,0,100,1791,,,
7/10/14,15:06:00,866621,795205,8.6,48,35,0,100,1840,,,
7/10/14,15:06:30,866595,795120,8.608,48,35,0,100,1820,,,
7/10/14,15:07:00,866636,795098,8.615,48,35,0,100,1775,,,
7/10/14,15:07:30,866633,795039,8.622,48,34,0,100,1674,,,
7/10/14,15:08:00,866633,794980,8.63,48,34,0,100,1756,,,
7/10/14,15:08:30,866648,794932,8.638,48,34,0,100,1839,,,
7/10/14,15:09:00,866693,794913,8.645,48,34,0,100,1795,,,
7/10/14,15:09:30,866698,794857,8.653,48,34,0,100,1804,,,
7/10/14,15:10:00,866598,794696,8.662,48,34,0,100,2063,,,
7/10/14,15:10:30,866661,794691,8.669,48,34,0,100,1869,,,
7/10/14,15:11:00,866675,794643,8.677,48,34,0,100,1812,,,
7/10/14,15:11:30,866727,794632,8.684,48,34,0,100,1748,,,
7/10/14,15:12:00,866710,794559,8.692,48,34,0,100,1710,,,
7/10/14,15:12:30,866702,794498,8.698,48,34,0,100,1599,,,
7/10/14,15:13:00,866650,794390,8.706,48,34,0,100,1797,,,
7/10/14,15:13:30,866639,794322,8.713,48,34,0,100,1726,,,
7/10/14,15:14:00,866692,794312,8.721,48,34,0,100,1745,,,
7/10/14,15:14:30,866677,794238,8.728,48,34,0,100,1795,,,
7/10/14,15:15:00,866684,794186,8.736,48,34,0,100,1741,,,
7/10/14,15:15:30,866726,794168,8.743,48,34,0,100,1683,,,
7/10/14,15:16:00,866699,794089,8.75,48,34,0,100,1617,,,
7/10/14,15:16:30,866761,794085,8.757,48,34,0,100,1812,,,
7/10/14,15:17:00,866672,793945,8.765,48,34,0,100,1743,,,
7/10/14,15:17:30,866680,793896,8.772,48,34,0,100,1679,,,
