time [s],NN_interval [s/256](/api/datatype/318/)
20203.76953125,272
20204.71484375,242
20209.7578125,246
20211.703125,239
20213.47265625,228
20214.36328125,228
20215.234375,223
20216.0546875,210
20216.87890625,211
20217.6875,207
20218.47265625,201
20219.22265625,192
20220.00390625,200
20220.84765625,216
20221.71875,223
20222.55078125,213
20224.0546875,190
20224.890625,214
20242.078125,219
20242.984375,232
20243.89453125,233
20244.8203125,237
20245.66796875,217
20246.49609375,212
20247.3203125,211
20248.15234375,213
20249.03125,225
20249.91796875,227
20250.85546875,240
20251.8828125,263
20252.78515625,231
20254.609375,241
20256.4296875,232
20257.26171875,213
20258.0703125,207
20258.83203125,195
20259.5859375,193
20260.42578125,215
20262.21875,219
20265.16015625,245
20266.99609375,239
20268.8671875,232
20270.67578125,242
20272.9296875,255
20274.66015625,223
20276.27734375,201
20277.05078125,198
20280.8359375,250
20281.80859375,249
20282.71875,233
20284.40234375,218
20287.22265625,232
20290.16015625,249
20291.953125,233
20293.7890625,234
20294.6328125,216
20295.5390625,232
20297.51171875,253
20300.1328125,222
20300.953125,210
20301.71875,196
20302.47265625,193
20303.26171875,202
20304.08984375,212
20304.9296875,215
20305.84375,234
20306.796875,244
20307.75,244
20309.49609375,229
20311.375,242
20312.2578125,226
20313.1875,238
20315.1015625,238
20316.8125,221
20318.640625,241
20319.5234375,226
20320.44140625,235
20321.3828125,241
20322.3203125,240
20323.19140625,223
20324.08984375,230
20325.00390625,234
20325.90234375,230
20326.73046875,212
20327.55078125,210
20328.34765625,204
20329.1484375,205
20329.9140625,196
20330.6640625,192
20331.50390625,215
20333.28515625,224
20334.234375,243
20335.23046875,255
20336.203125,249
20338.15625,266
20340.30078125,258
20342.1484375,243
20348.46875,255
20349.328125,220
20416.43359375,240
20417.3359375,231
20418.1953125,220
20419.0390625,216
20419.8828125,216
20420.72265625,215
20421.546875,211
20422.35546875,207
20423.203125,217
20424.0859375,226
20424.9921875,232
20425.83984375,217
20426.71875,225
20427.58984375,223
20428.45703125,222
20429.265625,207
20430.0625,204
20430.8671875,206
20431.65234375,201
20432.41796875,196
20433.17578125,194
20433.94140625,196
20434.71875,199
20435.5078125,202
20436.26953125,195
20437.0234375,193
20437.78515625,195
20438.5390625,193
20439.26953125,187
20439.98828125,184
20440.71875,187
20441.484375,196
20442.26171875,199
20443.08984375,212
20443.96875,225
20444.90234375,239
20445.76171875,220
20448.66015625,253
20453.12109375,217
20455.94921875,251
20456.85546875,232
20457.78125,237
20458.7265625,242
20459.640625,234
20460.4921875,218
20461.34765625,219
20462.19140625,216
20463.0546875,221
20463.9140625,220
20464.79296875,225
20465.75390625,246
20466.73828125,252
20467.6640625,237
20469.43359375,231
20471.3203125,244
20472.19140625,223
20473.078125,227
20473.984375,232
20474.9140625,238
20475.8046875,228
20476.640625,214
20477.484375,216
20478.32421875,215
20479.14453125,210
20479.92578125,200
20480.71484375,202
20481.53515625,210
20482.375,215
20483.18359375,207
20483.96875,201
20484.76171875,203
20485.6015625,215
20486.44140625,215
20487.23046875,202
20487.9921875,195
20488.76171875,197
20489.5390625,199
20490.3125,198
20491.0625,192
20491.80859375,191
20492.55859375,192
20493.32421875,196
20494.109375,201
20494.90625,204
20495.75390625,217
20496.63671875,226
20497.4765625,215
20499.02734375,195
20499.78515625,194
20500.54296875,194
20501.2734375,187
20501.9921875,184
20502.71484375,185
20503.46484375,192
20504.2578125,203
20505.1171875,220
20506.05078125,239
20506.8828125,213
20508.49609375,206
20509.33203125,214
20510.234375,231
20511.15234375,235
20512.08984375,240
20512.921875,213
20516.5859375,245
20517.59375,258
20518.77734375,303
20519.91796875,292
20523.05859375,279
20525.359375,295
20526.5234375,298
20527.69140625,299
20528.828125,291
20529.80078125,249
20535.8984375,250
20537.83203125,234
20540.8203125,265
20541.7578125,240
20543.66015625,242
20544.58984375,238
20545.4765625,227
20546.38671875,233
20547.31640625,238
20548.25,239
20549.1328125,226
20550.125,254
20551.0078125,226
20552.5859375,197
20553.3671875,200
20554.13671875,197
20554.88671875,192
20555.62890625,190
20556.3671875,189
20557.0859375,184
20557.78515625,179
20558.48828125,180
20559.20703125,184
20559.93359375,186
20598.1796875,235
20599.125,242
20600.08984375,247
